"","Comparison","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","effect"
"89","C2.N61311 - N080611","R-HSA-72702","Ribosomal scanning and start codon recognition","59","0.7871233","1.801274","2.963136e-04","1.509224e-02","1.509224e-02","1645","tags=49%, list=8%, signal=45%","1.801274"
"90","C2.N61311 - N080611","R-HSA-72706","GTP hydrolysis and joining of the 60S ribosomal subunit","112","0.7735425","1.934289","1.065354e-06","1.689742e-04","1.689742e-04","2259","tags=56%, list=11%, signal=50%","1.934289"
"91","C2.N61311 - N080611","R-HSA-72737","Cap-dependent Translation Initiation","119","0.7600278","1.929835","1.216437e-06","1.689742e-04","1.689742e-04","2259","tags=53%, list=11%, signal=48%","1.929835"
"92","C2.N61311 - N080611","R-HSA-72764","Eukaryotic Translation Termination","93","0.8033922","1.984524","9.339035e-07","1.689742e-04","1.689742e-04","2622","tags=70%, list=12%, signal=61%","1.984524"
"93","C2.N61311 - N080611","R-HSA-9010553","Regulation of expression of SLITs and ROBOs","166","0.7145768","1.897174","2.231067e-06","2.840892e-04","2.840892e-04","2622","tags=47%, list=12%, signal=41%","1.897174"
"94","C2.N61311 - N080611","R-HSA-927802","Nonsense-Mediated Decay (NMD)","115","0.7517566","1.884325","4.721112e-06","4.809240e-04","4.809240e-04","2622","tags=58%, list=12%, signal=51%","1.884325"
"95","C2.N61311 - N080611","R-HSA-9633012","Response of EIF2AK4 (GCN2) to amino acid deficiency","101","0.7640064","1.904885","1.233409e-05","1.142330e-03","1.142330e-03","1791","tags=57%, list=9%, signal=53%","1.904885"
"96","C2.N61311 - N080611","R-HSA-9711097","Cellular response to starvation","155","0.6928502","1.826561","3.555437e-05","2.263628e-03","2.263628e-03","2622","tags=51%, list=12%, signal=45%","1.826561"
"97","C2.N61311 - N080611","R-HSA-9735869","SARS-CoV-1 modulates host translation machinery","37","0.8772055","1.887766","1.281679e-05","1.142330e-03","1.142330e-03","1645","tags=78%, list=8%, signal=72%","1.887766"
"98","C2.N61311 - N080611","R-HSA-9754678","SARS-CoV-2 modulates host translation machinery","50","0.8273239","1.872992","6.116211e-05","3.738228e-03","3.738228e-03","1645","tags=57%, list=8%, signal=53%","1.872992"
"99","C2.N61311 - N080611","R-HSA-975956","Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)","95","0.7944988","1.967664","1.045698e-06","1.689742e-04","1.689742e-04","2622","tags=67%, list=12%, signal=59%","1.967664"
"100","C2.N61311 - N080611","R-HSA-975957","Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)","115","0.7517566","1.884325","4.721112e-06","4.809240e-04","4.809240e-04","2622","tags=58%, list=12%, signal=51%","1.884325"
